Tytuł kanału,Kraj,Liczba subskrybentów,Channel_id
"3P - Poland, People, Passion",PL,1560,UChY8shN_qbsFd49wUXCE69w
NBC News,Brak danych o kraju,9330000,UCeY0bbntWzzVIaj2z3QigXg
Two Mad Explorers,IE,113000,UCaghnfCBQmDjkfE6QDUF2aA
Wellcome Home,PL,3120,UCXxn_FN2qqd1o9EB-OAsglw
Pedro Mota,NL,85600,UCQc2abzqbqrp-TZG3K79Wng
Rob Reacts,GB,37200,UCVrkUiSjOmOQ0i9JSI7mawg
Wellcome Home,PL,3120,UCXxn_FN2qqd1o9EB-OAsglw
Enactus Poland,Brak danych o kraju,302,UCqgqQ79C7WTJq-O54n68rPw
Olivia Gudaniec,CA,6050,UCgAcckCB1hgzNCjsHHS0Q8g
NATO,Brak danych o kraju,407000,UCHlEaKbepQ_S9iIoZPKVQew
Sabaton,SE,1850000,UCjQhd1APsd5NQhiVZV7GYzg
ICT Poland Kostrzyn nad Odrą,PL,50,UClbdsfAivOzurRfk5XV7i1A
Wellcome Home,PL,3120,UCXxn_FN2qqd1o9EB-OAsglw
ABC News,US,15400000,UCBi2mrWuNuyYy4gbM6fU18Q
WOOD TV8,US,208000,UCDG0mJ_zkrODDT-4VTEV6TQ
NBC News,Brak danych o kraju,9330000,UCeY0bbntWzzVIaj2z3QigXg
VICE,US,17600000,UCn8zNIfYAQNdrFRrr8oibKw
Kraśnicki Dariusz,PL,14100,UCdxQkHxvxKDsspB5pFPtYkA
PBS NewsHour,US,3850000,UC6ZFN9Tx6xh-skXCuRHCDpQ
The Guardian,GB,2170000,UCHpw8xwDNhU9gdohEcJu4aA
Alan Aztec,GB,200000,UC-_3NleHqOgWptV4ewKG9hA
CBS News,US,5440000,UC8p1vwvWtl6T73JiExfWs1g
CBS Evening News,Brak danych o kraju,1880000,UCAeWdyKJXGWmVAXFpgLNNTg
Two Mad Explorers,IE,113000,UCaghnfCBQmDjkfE6QDUF2aA
Pedro Mota,NL,85600,UCQc2abzqbqrp-TZG3K79Wng
MSNBC,Brak danych o kraju,6230000,UCaXkIU1QidjPwiAYu6GcHjg
RedFox,PL,1600,UCqKhRkSOOm68SZMvIzywR4A
TVP World,PL,435000,UCBjUPsHj7bXt24SUWNoZ0zA
Polish Dane,Brak danych o kraju,2430,UCAOV5To6F4uawC3t5MRZRDg
Wellcome Home,PL,3120,UCXxn_FN2qqd1o9EB-OAsglw
Amazon News,US,61900,UCzE5rz2KHTFYAkmMksUpPLA
Jetline Marvel,Brak danych o kraju,116000,UChubcAMMKWFMABC3lns5THQ
Walking Greenstar,PL,475,UCL9do86F6OteFbfONXAMM1w
Aria Martelle,PL,116000,UCbPbgT_iBRhtJb_hVqvguuA
Two Mad Explorers,IE,113000,UCaghnfCBQmDjkfE6QDUF2aA
Wellcome Home,PL,3120,UCXxn_FN2qqd1o9EB-OAsglw
PolishTortoise,PL,216000,UCx22mlTERBqxg30j186hOsA
NewsNation,US,1060000,UCCjG8NtOig0USdrT5D1FpxQ
PBS NewsHour,US,3850000,UC6ZFN9Tx6xh-skXCuRHCDpQ
CNN,Brak danych o kraju,15800000,UCupvZG-5ko_eiXAupbDfxWw
CBS News,US,5440000,UC8p1vwvWtl6T73JiExfWs1g
The Guardian,GB,2170000,UCHpw8xwDNhU9gdohEcJu4aA
WITY TRAVELS,US,9270,UCSEKQ9wFCnOotkAOUaWRdpg
Tommy Craze,AU,2940000,UC_EuakPoEj8zS-vFHrDmkwg
Zespół Szkół Politechnicznych w Łodzi,PL,27,UCe64BSs_d7oI9TWhTGKFM3g
Two Mad Explorers,IE,113000,UCaghnfCBQmDjkfE6QDUF2aA
HistoryMarche,Brak danych o kraju,947000,UC8MX9ECowgDMTOnFTE8EUJw
Polish Eagle,PL,69600,UCMDgEbDorYbcouC0xog_wjw
Two Mad Explorers,IE,113000,UCaghnfCBQmDjkfE6QDUF2aA
MSNBC,Brak danych o kraju,6230000,UCaXkIU1QidjPwiAYu6GcHjg
Made of Journeys,Brak danych o kraju,790,UCJDn_faTPaxN1-wgRGyS3ng
MSNBC,Brak danych o kraju,6230000,UCaXkIU1QidjPwiAYu6GcHjg
C-C Euro Pop Music,IE,6610,UC2XuD3x33Oveu-_6_rlc1pA
VisualPolitik EN,GB,1340000,UCT3v6vL2H5HK4loLMc8pmCw
Šajbi cestuje,Brak danych o kraju,521,UChBqChR3szcZd6KRFx081vg
SciShow,US,7780000,UCZYTClx2T1of7BRZ86-8fow
Magda W. Gugulska,Brak danych o kraju,948,UCnKIqy7jiIZfwqrOTdgVrZw
TG Designs,PL,53900,UCQCWH2V0TSqM4z5DG8Rof1g
VICE,US,17600000,UCn8zNIfYAQNdrFRrr8oibKw
CNN,Brak danych o kraju,15800000,UCupvZG-5ko_eiXAupbDfxWw
History Media-HD,US,23400,UCOFcY-c4QmypQxTkg9DkfeA
Vigo’s Dad,PL,34200,UCAlZsyC0HuGx7AZI54edKzg
NowThis Originals,US,2230000,UCgRvm1yLFoaQKhmaTqXk9SA
The Guardian,GB,2170000,UCHpw8xwDNhU9gdohEcJu4aA
PolishTortoise,PL,216000,UCx22mlTERBqxg30j186hOsA
CNN,Brak danych o kraju,15800000,UCupvZG-5ko_eiXAupbDfxWw
Travelwithchris,US,360000,UC40tCi6qlNr-WS37JQSrSUQ
PLANET KRAKOW,PL,5800,UCL9QCO5vimeOw2VLh3xdWQw
Kondel Walking Tours,IT,3780,UChTbfkYOzZhuoa6ALdLGHyw
Sayali Rahate,PL,11500,UCuTW-VCyv4a8B8aReF2_D-A
Dr William Barylo,GB,9790,UC1KQMrAkTXCx0oGPWppZKVg
Dragos Comedy,DE,41600,UCGmFvH5bL4sUerU76Nr2f8A
NBC News,Brak danych o kraju,9330000,UCeY0bbntWzzVIaj2z3QigXg
Two Mad Explorers,IE,113000,UCaghnfCBQmDjkfE6QDUF2aA
Eva zu Beck,Brak danych o kraju,1750000,UCDTINI9skkeZNY2ZXnBqIkQ
Walking Greenstar,PL,475,UCL9do86F6OteFbfONXAMM1w
Go Places Pro,US,39200,UC5pBNl48hhwI0Hm0sPoXEdg
ITN Archive,Brak danych o kraju,255000,UCKmqYReXoCMbVgxaT5XuM4w
VICE,US,17600000,UCn8zNIfYAQNdrFRrr8oibKw
Rob Reacts,GB,37200,UCVrkUiSjOmOQ0i9JSI7mawg
Conor Clyne - Tsar Experience,IE,87200,UCz9WfSs2nuabYM_3LAARWHg
Chido-Fajny,PL,3300,UCk8aGSHKBLLpMnX3rsiQ-vA
Ryan Lee Banks,GB,3990,UCYAIbGWcLdohnpRh-YLXzRw
Dr William Barylo,GB,9790,UC1KQMrAkTXCx0oGPWppZKVg
CNN,Brak danych o kraju,15800000,UCupvZG-5ko_eiXAupbDfxWw
Kings and Generals,CA,3310000,UCMmaBzfCCwZ2KqaBJjkj0fw
PolishTortoise,PL,216000,UCx22mlTERBqxg30j186hOsA
Fox News,US,10900000,UCXIJgqnII2ZOINSWNOGFThA
Second Life,US,51300,UC5dsLkNZX9pVgmEHpJX9QCA
PLANET KRAKOW,PL,5800,UCL9QCO5vimeOw2VLh3xdWQw
Life of Boris,EE,3420000,UCS5tt2z_DFvG7-39J3aE-bQ
Olivia Gudaniec,CA,6050,UCgAcckCB1hgzNCjsHHS0Q8g
Chasing Footprints,Brak danych o kraju,286,UCGM-7YmTv_UUWm3wfzxYGbg
Vigo’s Dad,PL,34200,UCAlZsyC0HuGx7AZI54edKzg
NBC News,Brak danych o kraju,9330000,UCeY0bbntWzzVIaj2z3QigXg
CNN,Brak danych o kraju,15800000,UCupvZG-5ko_eiXAupbDfxWw
travelsightseeing,GR,2200,UC88lJ2-SpuDIjwg_K5_n2Zg
Kręte ścieżki - Paweł Szulc,PL,2010,UC4LkiKipqtqOIYOvKzHdFoQ
Globe in the Hat,PL,57300,UCZkVPUf-4-HjaTdrswApBFQ
Płynnie po polsku - Learn Polish with Anna,Brak danych o kraju,5240,UCM1vdTt_oFZw5rD0wCLC4dA
Płynnie po polsku - Learn Polish with Anna,Brak danych o kraju,5240,UCM1vdTt_oFZw5rD0wCLC4dA
Chido-Fajny,PL,3300,UCk8aGSHKBLLpMnX3rsiQ-vA
Pedro Mota,NL,85600,UCQc2abzqbqrp-TZG3K79Wng
Fox News,US,10900000,UCXIJgqnII2ZOINSWNOGFThA
NewsNation,US,1060000,UCCjG8NtOig0USdrT5D1FpxQ
Island Hopper TV,US,281000,UCarSZcFQ6-0eqZrAG4pKoMA
Ash and Kels,GB,19100,UCdJAmuo-KkgcJvSoQjPxAWg
Nata Kharabadze,PL,1060,UC4p0nqsrQIRRymfX9AwAiUA
Business in Poland,Brak danych o kraju,517,UCaMRVgk2xImJ0apXljE5Zqw
Rob Reacts,GB,37200,UCVrkUiSjOmOQ0i9JSI7mawg
